ID,anio,mes,Sexo,Edad,region,PEA,Desempleo,Salario
115581,2022,1,2,75,1,0,0,0
115591,2022,1,1,31,1,1,0,109189.48
115592,2022,1,2,29,1,1,0,37189.48
115601,2022,1,2,26,1,1,0,154189.48
115611,2022,1,2,50,1,1,0,93189.48
115621,2022,1,2,36,1,1,0,36189.48
115631,2022,1,2,28,1,1,0,78189.48
115641,2022,1,1,43,1,1,0,190689.48
115642,2022,1,2,36,1,1,0,51189.48
115651,2022,1,1,29,1,1,0,72289.48
115661,2022,1,1,51,1,1,0,93189.48
115662,2022,1,1,53,1,1,0,63189.48
115671,2022,1,2,29,1,1,0,5000
115681,2022,1,2,60,1,1,0,18000
115682,2022,1,2,27,1,1,0,31189.48
115691,2022,1,1,30,1,1,0,48189.48
115692,2022,1,2,29,1,1,0,35206.48
115701,2022,1,2,76,1,0,0,0
115711,2022,1,1,33,1,1,0,45189.48
115721,2022,1,1,38,1,1,0,111189.48
115722,2022,1,2,36,1,1,1,0
115731,2022,1,2,32,1,1,0,56189.48
115741,2022,1,1,67,1,1,0,40000
115751,2022,1,1,39,1,1,0,37489.48
115752,2022,1,2,32,1,1,0,104035.86
115761,2022,1,1,33,1,1,0,124000000000000
115762,2022,1,2,32,1,1,0,65189.48
115765,2022,1,1,67,1,0,0,0
115766,2022,1,2,67,1,0,0,0
115771,2022,1,1,73,1,0,0,0
115781,2022,1,2,31,1,1,0,56189.48
115791,2022,1,1,33,1,1,0,185275.33
115792,2022,1,2,31,1,1,0,90189.48
115801,2022,1,2,52,1,1,0,172189.48
115802,2022,1,1,59,1,1,0,233189.48
115803,2022,1,1,20,1,1,0,19189.48
115804,2022,1,2,18,1,1,1,0
115811,2022,1,2,35,1,1,0,48180.48
115821,2022,1,2,60,1,1,0,70595.28
115831,2022,1,2,60,1,0,0,0
115841,2022,1,2,46,1,1,0,94089.48
115851,2022,1,1,29,1,1,0,7776.73
115861,2022,1,1,34,1,1,0,30000
115862,2022,1,2,39,1,1,0,31989.48
115871,2022,1,1,26,1,1,0,41189.48
115881,2022,1,2,55,1,1,0,177189.48
115882,2022,1,1,54,1,1,0,387189.48
115883,2022,1,1,27,1,1,0,54189.48
115884,2022,1,1,25,1,1,0,69189.48
115891,2022,1,2,31,1,1,0,45189.48
115892,2022,1,2,30,1,1,1,0
115901,2022,1,1,70,1,0,0,110000
115902,2022,1,2,66,1,1,0,71189.48
115911,2022,1,2,42,1,1,0,23189.48
115912,2022,1,1,43,1,1,0,108189.48
115921,2022,1,1,35,1,1,0,108189.48
115922,2022,1,2,35,1,1,0,33189.48
115931,2022,1,1,39,1,0,0,0
115932,2022,1,2,38,1,0,0,0
115941,2022,1,2,83,1,0,0,0
115951,2022,1,1,25,1,1,0,48189.48
115952,2022,1,2,22,1,1,0,36189.48
115953,2022,1,2,54,1,1,0,25189.48
115961,2022,1,2,62,1,1,0,2500
115971,2022,1,2,51,1,0,0,0
115981,2022,1,2,23,1,0,0,0
115991,2022,1,1,53,1,1,0,69189.48
116001,2022,1,2,26,1,1,0,21000
116011,2022,1,1,25,1,1,0,54389.48
116012,2022,1,2,25,1,1,0,48389.48
116021,2022,1,1,27,1,0,0,0
116031,2022,1,2,60,1,0,0,0
116032,2022,1,1,69,1,0,0,0
116041,2022,1,2,41,1,1,0,139189.48
116042,2022,1,1,37,1,1,0,58189.48
116051,2022,1,1,58,1,0,0,0
116052,2022,1,2,57,1,1,0,43189.48
116053,2022,1,2,17,1,0,0,0
116061,2022,1,1,56,1,1,0,108189.48
116062,2022,1,2,39,1,1,0,91189.48
116071,2022,1,2,51,1,1,0,74189.48
116072,2022,1,2,23,1,1,0,32189.48
116081,2022,1,1,79,1,0,0,0
116082,2022,1,2,75,1,0,0,0
116091,2022,1,2,38,1,1,0,84689.48
116101,2022,1,1,74,1,0,0,0
116111,2022,1,2,56,1,1,0,38189.48
116112,2022,1,1,30,1,1,0,21189.48
116113,2022,1,1,82,1,0,0,0
116121,2022,1,1,43,1,0,0,0
116131,2022,1,2,55,1,1,0,26189.48
116132,2022,1,1,59,1,0,0,0
116133,2022,1,1,14,1,0,0,0
